tau	PRB	PRP	PRPD
TRINITY_DN252393_c1_g1	1	0	0	1
TRINITY_DN252432_c0_g1	1	0	0	1
TRINITY_DN252468_c0_g1	1	0	0	1
TRINITY_DN252484_c0_g1	1	0	0	1
TRINITY_DN252485_c0_g1	1	0	0	1
TRINITY_DN252511_c0_g1	1	0	0	1
TRINITY_DN252528_c1_g4	1	0	0	1
TRINITY_DN252529_c1_g5	1	0	0	1
TRINITY_DN252533_c0_g1	1	0	0	1
TRINITY_DN252550_c0_g1	1	0	0	1
TRINITY_DN252572_c0_g4	1	0	0	1
TRINITY_DN252580_c2_g1	1	0	0	1
TRINITY_DN252584_c0_g2	1	0	0	1
TRINITY_DN252591_c0_g3	1	0	0	1
TRINITY_DN252595_c0_g1	1	0	0	1
TRINITY_DN252654_c0_g1	1	0	0	1
TRINITY_DN252674_c0_g1	1	0	0	1
TRINITY_DN252675_c0_g2	1	0	0	1
TRINITY_DN252681_c0_g1	1	0	0	1
TRINITY_DN252683_c0_g1	1	0	0	1
TRINITY_DN252694_c0_g1	1	0	0	1
TRINITY_DN252695_c0_g3	1	0	0	1
TRINITY_DN252698_c0_g1	1	0	0	1
TRINITY_DN252707_c9_g1	1	0	0	1
TRINITY_DN252710_c0_g1	1	0	0	1
TRINITY_DN252735_c0_g1	1	0	0	1
TRINITY_DN252740_c1_g1	1	0	0	1
TRINITY_DN252748_c1_g1	1	0	0	1
TRINITY_DN252755_c5_g4	1	0	0	1
TRINITY_DN252755_c5_g5	1	0	0	1
TRINITY_DN252755_c6_g1	1	0	0	1
TRINITY_DN252755_c7_g1	1	0	0	1
TRINITY_DN252756_c1_g1	1	0	0	1
TRINITY_DN252786_c0_g1	1	0	0	1
TRINITY_DN252810_c0_g1	1	0	0	1
TRINITY_DN252830_c0_g1	1	0	0	1
TRINITY_DN252832_c0_g1	1	0	0	1
TRINITY_DN252849_c0_g2	1	0	0	1
TRINITY_DN252869_c0_g2	1	0	0	1
TRINITY_DN252879_c1_g2	1	0	0	1
TRINITY_DN252888_c4_g1	1	0	0	1
TRINITY_DN252908_c0_g1	1	0	0	1
TRINITY_DN252908_c0_g2	1	0	0	1
TRINITY_DN252921_c0_g1	1	0	0	1
TRINITY_DN252921_c0_g2	1	0	0	1
